,text,Username,Timestamp,lenght,location,device,RT,Reply
23,"@CMOTamilNadu @OfficeOfOPS @narendramodi @PMOIndia mailed to al @nsitharamanoffc NATIONAL SECURITY ISSUE. ADITYA PURI @HDFC_Bank Chairman doing illegal busines thefting money hacking mail, Kidnapping customer with rowdys.I have al proof. But y all afraid to take action on ADITYA PURI @BBCWorld @TimesNow https://t.co/AvBdeGxVZq",Venkata64035530,Thu Dec 19 06:38:20 +0000 2019,328,"Tamil Nadu, India",Android,False,CMOTamilNadu
24,Hacking fallout 76 means nothing unless i can spawn hancock to follow me around,mirrahan,Thu Dec 19 06:38:28 +0000 2019,79,he/they | icon: @hmri_fe,Mobile device,False,
25,"RT @krushna_maverik: @oh_shubm @RoflGandhi_ @smittal_ips new book accidental click, accidental like and partial hacking",whoiswrs,Thu Dec 19 06:38:30 +0000 2019,119,"New Delhi, India",Android,True,
26,Vladimir Putin ‘still uses obsolete Windows XP’ despite hacking risk : technology https://t.co/d2mkQaIgnu https://t.co/9SvSPDv0Ao,CapriLaptop,Thu Dec 19 06:38:31 +0000 2019,129,,-,False,
27,RT @foxit: Operation Wocao: shining a light on one of China's hidden hacking groups. https://t.co/xEY38US0HR https://t.co/39D7gEaUNf,sonotsecure,Thu Dec 19 06:38:36 +0000 2019,132,Los Angeles,iPhone,True,
28,RT @foxit: Operation Wocao: shining a light on one of China's hidden hacking groups. https://t.co/xEY38US0HR https://t.co/39D7gEaUNf,Maxdebruijn,Thu Dec 19 06:38:42 +0000 2019,132,@Home,Android,True,
29,RT @jess_mc: Ah yes. I remember the meetings at Hillary HQ where we laid out our strategy to lose the election and cause enough of a consti…,immaris,Thu Dec 19 06:38:48 +0000 2019,140,"Marin County, Ca",iPhone,True,
30,"And repeat😎

For more details click https://t.co/7Aiq9UyDdl
Contact Us-9953535779

#ittraining #machinelearning #programmermeme #developermeme #codermeme #computerscience #hacking #datascience #softwaredeveloper #java #python #placement #institute #technology #education #apsmind https://t.co/YJQ5fuPMB4",ApsmindT,Thu Dec 19 06:38:55 +0000 2019,303,"New Delhi, Delhi",Mobile device,False,
31,"RT @ApsmindT: And repeat😎

For more details click https://t.co/7Aiq9UyDdl
Contact Us-9953535779

#ittraining #machinelearning #programmerme…",BoakyeTweets,Thu Dec 19 06:39:01 +0000 2019,140,"Miami, FL",Bot,True,
32,"The flaw could be triggered by an attacker by sending an HTTP request containing a string longer than the expected, causing the password to get completely voided. 
The expert explained that the CGI validation is only based on the referrer’s HTTP headers.",ivanmarkovicsec,Thu Dec 19 06:39:01 +0000 2019,254,..-. .-. . . -.. --- --,Mobile device,False,
33,"When we joked about this, we were unwittingly not joking.",MuellerSheWrote,Thu Dec 19 06:39:02 +0000 2019,57,"San Diego, CA",iPhone,False,
34,"@CMOTamilNadu @OfficeOfOPS @narendramodi @PMOIndia mailed to al @nsitharamanoffc NATIONAL SECURITY ISSUE. ADITYA PURI @HDFC_Bank Chairman doing illegal busines thefting money hacking mail, Kidnapping customer with rowdys.I have al proof. But y all afraid to take action on ADITYA PURI @BBCWorld @TimesNow https://t.co/92d780bIa1",Venkata64035530,Thu Dec 19 06:39:04 +0000 2019,328,"Tamil Nadu, India",Android,False,CMOTamilNadu
35,"RT @ApsmindT: And repeat😎

For more details click https://t.co/7Aiq9UyDdl
Contact Us-9953535779

#ittraining #machinelearning #programmerme…",TheCuriousLuke,Thu Dec 19 06:39:12 +0000 2019,140,Switzerland,-,True,
36,learn hacking/cybersecurity for free https://t.co/TAZepSCJlV,DavidCosta85,Thu Dec 19 06:39:23 +0000 2019,60,"Los Angeles, California",Android,False,
37,"RT @Hakin9: Complete Guide on Installation of MongoDB in Amazon Linux by Tejaswini UL https://t.co/sgsFxnVQHP 

#infosec #hacking #hackers…",cybersec_feeds,Thu Dec 19 06:39:27 +0000 2019,139,Internet,-,True,
38,RT @hoodshordy: hackers are hacking everything except OSAP 😑 priorities ppl..,carrie_fv,Thu Dec 19 06:39:33 +0000 2019,77,toronto,iPhone,True,
39,"@CMOTamilNadu @OfficeOfOPS @narendramodi @PMOIndia mailed to al @nsitharamanoffc NATIONAL SECURITY ISSUE. ADITYA PURI @HDFC_Bank Chairman doing illegal busines thefting money hacking mail, Kidnapping customer with rowdys.I have al proof. But y all afraid to take action on ADITYA PURI @BBCWorld @TimesNow https://t.co/jyJXG2b4ku",Venkata64035530,Thu Dec 19 06:39:48 +0000 2019,328,"Tamil Nadu, India",Android,False,CMOTamilNadu
40,"RT @BrianKarem: Not from the Onion but from a WH source - ""Hillary Clinton purposely lost the election with the aid of Russian hacking so t…",two_plus_twins,Thu Dec 19 06:39:52 +0000 2019,140,,iPhone,True,
41,"RT @BrianKarem: Not from the Onion but from a WH source - ""Hillary Clinton purposely lost the election with the aid of Russian hacking so t…",MJWebb3,Thu Dec 19 06:40:05 +0000 2019,140,"Florida, USA",Android,True,
42,"RT @BaldingsWorld: @DmitryOpines This matters in a negotiation because absent the guaranteed purchase, China could change the law and still…",PaimeiGuy,Thu Dec 19 06:40:07 +0000 2019,140,"Ho Chi Minh, Vietnam",Android,True,
43,"RT @BrianKarem: Not from the Onion but from a WH source - ""Hillary Clinton purposely lost the election with the aid of Russian hacking so t…",Metta_World_Mat,Thu Dec 19 06:40:19 +0000 2019,140,"San Francisco, CA",iPhone,True,
44,"RT @Hakin9: Complete Guide on Installation of MongoDB in Amazon Linux by Tejaswini UL https://t.co/sgsFxnVQHP 

#infosec #hacking #hackers…",LlnuxBot,Thu Dec 19 06:40:21 +0000 2019,139,Raspberry Pi,Bot,True,
45,"RT @MuellerSheWrote: When we joked about this, we were unwittingly not joking. https://t.co/5QUIvW29AY",WintersPilar,Thu Dec 19 06:40:21 +0000 2019,102,"Seattle, WA & New York",Android,True,
46,RT @foxit: Operation Wocao: shining a light on one of China's hidden hacking groups. https://t.co/xEY38US0HR https://t.co/39D7gEaUNf,Schamperr,Thu Dec 19 06:40:42 +0000 2019,132,,iPhone,True,
47,"RT @TXingh: @smittal_ips Cyber security researcher handle got hacked and that too partially 
New terminology developed in hacking today: Pa…",hssaini82,Thu Dec 19 06:40:46 +0000 2019,140,India,iPhone,True,
48,"Ye partial hacking* kaise hoti hai..?
Since you are Researcher in Cyber Security, who better than you to educate us.",saadmaqsood,Thu Dec 19 06:40:55 +0000 2019,116,India,Mobile device,False,
49,"Can everyone please report @intorauhI for hacking that account they have because it was mine now they’ve hacked it changed all the @, email, phone number etc and it’s vile",aiimeefowler,Thu Dec 19 06:40:59 +0000 2019,171,,iPhone,False,
50,RT @CallistoSupport: #SmartContracts must be audited before deployment to ensure they are programmed 100% accurately to withstand years of…,Callistonians,Thu Dec 19 06:41:02 +0000 2019,139,Callisto Moon,Android,True,
51,@stormzy That racist piece of shit Morgan...wouldn't know what the truth is even if it smacked him in the face...I hear he is good at hacking dead girls phones though...,IrfaanHussein,Thu Dec 19 06:41:19 +0000 2019,169,,Android,False,stormzy
52,"RT @Cyberlutions: Is our government vulnerable to hacking? 

https://t.co/OVVynPTa3N
.
.
.
.
.
#cybersec #infosecurity #cyberattacks #cyber…",CyberSecurityN8,Thu Dec 19 06:41:23 +0000 2019,140,,-,True,
53,"RT @BrianKarem: Not from the Onion but from a WH source - ""Hillary Clinton purposely lost the election with the aid of Russian hacking so t…",blakcoffee,Thu Dec 19 06:41:26 +0000 2019,140,"30.094497800, -93.761084676",iPhone,True,
54,"RT @Sonic_Hedgeblog: Tails smashes Honey, from the arcade version of ‘Fighting Vipers’, accessed via hacking. https://t.co/MREGKagYeP https…",SecEd_Loser,Thu Dec 19 06:41:28 +0000 2019,140,"Henderson, NV",Android,True,
55,RT @botting_nikki: I would dearly love to get back up to 1000 of my 3500 followers before the hacking earlier this year! If you are an #slp…,PinniePie,Thu Dec 19 06:41:28 +0000 2019,140,,iPhone,True,
56,RT @CallistoSupport: #SmartContracts must be audited before deployment to ensure they are programmed 100% accurately to withstand years of…,CallistoNetFr,Thu Dec 19 06:41:35 +0000 2019,139,World Wide,Android,True,
57,How more low can these people stoop suppressing voice by hacking accounts😠😠😠,ninad_kun,Thu Dec 19 06:41:44 +0000 2019,76,"Mumbai, India",Android,False,
58,"RT @MuellerSheWrote: When we joked about this, we were unwittingly not joking. https://t.co/5QUIvW29AY",orchidsbudget,Thu Dec 19 06:41:49 +0000 2019,102,,Mobile device,True,
59,"RT @Cyberlutions: Is our government vulnerable to hacking? 

https://t.co/OVVynPTa3N
.
.
.
.
.
#cybersec #infosecurity #cyberattacks #cyber…",sectest9,Thu Dec 19 06:41:50 +0000 2019,140,"Hyderabad, India",-,True,
60,"RT @MuellerSheWrote: When we joked about this, we were unwittingly not joking. https://t.co/5QUIvW29AY",Robbytreeroot,Thu Dec 19 06:41:51 +0000 2019,102,"Western Kentucky, USA ",Android,True,
61,RT @CallistoSupport: #SmartContracts must be audited before deployment to ensure they are programmed 100% accurately to withstand years of…,spatialiste,Thu Dec 19 06:42:04 +0000 2019,139,A moon called Callisto,Android,True,
62,"@CMOTamilNadu @OfficeOfOPS @narendramodi @PMOIndia mailed to al @nsitharamanoffc NATIONAL SECURITY ISSUE. ADITYA PURI @HDFC_Bank Chairman doing illegal busines thefting money hacking mail, Kidnapping customer with rowdys.I have al proof. But y all afraid to take action on ADITYA PURI @BBCWorld @TimesNow https://t.co/RC72AKeSOT",Venkata64035530,Thu Dec 19 06:42:14 +0000 2019,328,"Tamil Nadu, India",Android,False,CMOTamilNadu
63,"RT @USCyberMag: 4.1 billion records were exposed within the first six months of 2019. This is a 52% rise from same period in 2018.

https:/…",Gurgling_MrD,Thu Dec 19 06:42:18 +0000 2019,140,"York, UK",-,True,
64,"RT @BrianKarem: Not from the Onion but from a WH source - ""Hillary Clinton purposely lost the election with the aid of Russian hacking so t…",FTY4evah,Thu Dec 19 06:42:26 +0000 2019,140,,iPhone,True,
65,"Sadly, @smittal_ips has no idea, what's hacking, partial hacking, anti-nationals, registering a complaint etc etc.

Only thing the poor chap knows is to keep Delhi happy &amp; escape investigation agencies.",RURALINDIA,Thu Dec 19 06:42:46 +0000 2019,206,Planet Earth,Android,False,
66,"RT @MuellerSheWrote: When we joked about this, we were unwittingly not joking. https://t.co/5QUIvW29AY",blakcoffee,Thu Dec 19 06:42:48 +0000 2019,102,"30.094497800, -93.761084676",iPhone,True,
67,The latest Growth Hacking Today! https://t.co/uX3q57vjjc Thanks to @SuzanneMooreAtl @SEONerdsDigital #marketing #seo,art_ziolkowski,Thu Dec 19 06:42:55 +0000 2019,116,"Gdynia, Polska",-,False,
68,"@CMOTamilNadu @OfficeOfOPS @narendramodi @PMOIndia mailed to al @nsitharamanoffc NATIONAL SECURITY ISSUE. ADITYA PURI @HDFC_Bank Chairman doing illegal busines thefting money hacking mail, Kidnapping customer with rowdys.I have al proof. But y all afraid to take action on ADITYA PURI @BBCWorld @TimesNow https://t.co/JdGBelCyPB",Venkata64035530,Thu Dec 19 06:42:59 +0000 2019,328,"Tamil Nadu, India",Android,False,CMOTamilNadu
69,Operation Wocao: Shining a light on one of China’s hidden hacking groups (APT20) https://t.co/SsWFGVGgAm,_r_netsec,Thu Dec 19 06:43:05 +0000 2019,104,[root@netsec /]#,-,False,
70,"RT @RURALINDIA: Sadly, @smittal_ips has no idea, what's hacking, partial hacking, anti-nationals, registering a complaint etc etc.

Only th…",Kadaravali,Thu Dec 19 06:43:06 +0000 2019,140,"Bengaluru, India",Android,True,
71,"RT @BrianKarem: Not from the Onion but from a WH source - ""Hillary Clinton purposely lost the election with the aid of Russian hacking so t…",jeanniecool,Thu Dec 19 06:43:17 +0000 2019,140,Seattle,Android,True,
72,"RT @jawja100: Congress peels back secrecy to review Trump hacking policy

LAWMAKERS WON THE RIGHT TO REVIEW THE ADMINISTRATION'S OFFENSIVE…",RandyResist,Thu Dec 19 06:43:17 +0000 2019,139,,iPhone,True,
73,"RT @RURALINDIA: Sadly, @smittal_ips has no idea, what's hacking, partial hacking, anti-nationals, registering a complaint etc etc.

Only th…",AnindaManna1969,Thu Dec 19 06:43:18 +0000 2019,140,,Mobile device,True,
74,PLEASE CAN EVERYONE REPORT THEM AS THEY HACKED MY ACC AND ALSO WENT PRIVATE NOW I CANT ACCESS IT. I ALSO HAVE TWEETS ON THEIR WITH MY PICTURE WHICH ARE IN THEIR POSESSION AND THEY BLOCKED MY OTHER ACC WHEN I ASKED FOR IT BACK. (Girl in pic is me from 2012 and they blocked me) https://t.co/7oxRsvlYtK,loveraimee13,Thu Dec 19 06:43:32 +0000 2019,300,England,iPhone,False,
75,"RT @TheJusticeDept: Member of ""The Dark Overlord"" Hacking Group Extradited From United Kingdom to Face Charges in St. Louis https://t.co/La…",CHQM8_tx,Thu Dec 19 06:43:40 +0000 2019,140,"Fort Worth, TX",Android,True,
76,RT @dutch_osintguy: This should be interesting. https://t.co/5QA6pe56xa,bizcom,Thu Dec 19 06:43:47 +0000 2019,71, #Alp,iPhone,True,
77,"@10DowningStreet Similarly,my sexual function can be blocked by the externally created physics of the schizophrenia,denying me the right to the birth of my own children,as I have desired from the age of 16! --This 'hacking' has been used,yet confused as medication side effects!!",RORYMELDRUM,Thu Dec 19 06:43:52 +0000 2019,279,"Exeter, England, U.K.",Android,False,RORYMELDRUM
78,"RT @BrianKarem: Not from the Onion but from a WH source - ""Hillary Clinton purposely lost the election with the aid of Russian hacking so t…",Hub_Suh,Thu Dec 19 06:43:52 +0000 2019,140,,iPhone,True,
79,"RT @DrDenaGrayson: 🤣LOL...as if @HillaryClinton would *purposely lose* an opportunity to become president, just to troll @realDonaldTrump.…",ResidentOregon,Thu Dec 19 06:43:56 +0000 2019,139,"Eugene, OR",Mobile device,True,
80,"RT @MuellerSheWrote: When we joked about this, we were unwittingly not joking. https://t.co/5QUIvW29AY",Iamstephentoo,Thu Dec 19 06:43:57 +0000 2019,102,,iPhone,True,
81,Nathan Wyatt is the first member of Dark Overlord to face prosecution,air1news,Thu Dec 19 06:44:00 +0000 2019,69,,-,False,
82,RT @SangramSatpath3: Can any cyber expert of course other than the person below please explain what is partial hacking???? https://t.co/GYl…,IncKinju,Thu Dec 19 06:44:04 +0000 2019,140,,iPhone,True,
83,#hacking Are you doing business continuity correct #BC ACT https://t.co/V4PQYemd2Y,smesecurity,Thu Dec 19 06:44:09 +0000 2019,82,Canberra,-,False,
84,"Up to this day, I still don't get the hate towards S2 of Mr. Robot. 

emotional aspects of the show &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt; hacking parts",MikeeYowee,Thu Dec 19 06:44:10 +0000 2019,150,,-,False,
85,"RT @BrianKarem: Not from the Onion but from a WH source - ""Hillary Clinton purposely lost the election with the aid of Russian hacking so t…",anoka90,Thu Dec 19 06:44:51 +0000 2019,140,"Tolleson, AZ",iPhone,True,
86,"➦ Early Release Video from DEF CON 25!

» 

        Early release video from DEF CON 25 - Garry Kasparov's presentation 'The Brain's Last Stand'. As always, enjoy and make sure to pass it on!
 
  https://t.co/RELkm7R05b",teamsecurity3,Thu Dec 19 06:45:03 +0000 2019,219,Oldenburg,-,False,
87,I Always dreamed of hacking / combining Delveroo with Pokemon Go. Deliverookimon GO.. Just kids with iPhones chasing bikes carrying chinese takeaway through the streets.,Shamanictech,Thu Dec 19 06:45:06 +0000 2019,169,The Other Side,Mobile device,False,
88,"Browser hacking: Purgeable images in LibHTML
https://t.co/GcK64MM3gA

Using purgeable memory to reduce the effective memory contribution of off-screen images on the web 🧩🤔👌",awesomekling,Thu Dec 19 06:45:07 +0000 2019,172,Sweden,iPhone,False,
89,"RT @MuellerSheWrote: When we joked about this, we were unwittingly not joking. https://t.co/5QUIvW29AY",fox_berniefox,Thu Dec 19 06:45:19 +0000 2019,102,"Los Angeles, CA",Android,True,
90,"RT @BrianKarem: Not from the Onion but from a WH source - ""Hillary Clinton purposely lost the election with the aid of Russian hacking so t…",AdamSButler65,Thu Dec 19 06:45:19 +0000 2019,140,Lincoln,Android,True,
91,"@CMOTamilNadu @OfficeOfOPS @narendramodi @PMOIndia mailed to al @nsitharamanoffc NATIONAL SECURITY ISSUE. ADITYA PURI @HDFC_Bank Chairman doing illegal busines thefting money hacking mail, Kidnapping customer with rowdys.I have al proof. But y all afraid to take action on ADITYA PURI @BBCWorld @TimesNow https://t.co/UWRhTZ95s0",Venkata64035530,Thu Dec 19 06:45:26 +0000 2019,328,"Tamil Nadu, India",Android,False,CMOTamilNadu
92,"@piersmorgan No Penis, what shouldn't of happened is you hacking the phone of a murdered child.",mmamattflower,Thu Dec 19 06:45:30 +0000 2019,95,Windsor,Android,False,piersmorgan
93,Member of 'The Dark Overlord' hacking group extradited to the US https://t.co/6bhzfUi9Of,ZDNet,Thu Dec 19 06:45:39 +0000 2019,88,USA | UK | Asia | Australia,-,False,
94,"Last day of 33. This year has held the most healing, development, and consciousness expansion I’ve had. 

A year ago, I was just starting to come out of a deep depression. Wow, I’m lucky 🙏

Celebrating &amp; starting 34 with consciousness hacking &amp; transformational breathwork 😁",taharveyconsult,Thu Dec 19 06:45:40 +0000 2019,282,"Colorado, pale blue dot",iPhone,False,
95,Every revision of their conspiracy is more bonkers than the last.,bethanyamanda,Thu Dec 19 06:45:48 +0000 2019,65,,iPhone,False,
96,"RT @RURALINDIA: Sadly, @smittal_ips has no idea, what's hacking, partial hacking, anti-nationals, registering a complaint etc etc.

Only th…",3Baa_Ghee,Thu Dec 19 06:45:50 +0000 2019,140,"Ludhiana,Punjab",Android,True,
97,"RT @BrianKarem: Not from the Onion but from a WH source - ""Hillary Clinton purposely lost the election with the aid of Russian hacking so t…",J_Dallas1995,Thu Dec 19 06:45:58 +0000 2019,140,,Mobile device,True,
98,@ZamirLX She accused him of hacking somebody's phone or something,Kimberly_Wotas,Thu Dec 19 06:46:03 +0000 2019,65,"Lagos, Nigeria",Android,False,ZamirLX
99,"RT @Mikel_Jollett: The White House believes that Hillary Clinton lost the election on purpose, just so Democrats could impeach Trump.

I ca…",KilroyWasHere7,Thu Dec 19 06:46:12 +0000 2019,140,"Butler, Pa.",iPhone,True,
100,RT @foxit: Operation Wocao: shining a light on one of China's hidden hacking groups. https://t.co/xEY38US0HR https://t.co/39D7gEaUNf,JHChrisstoffels,Thu Dec 19 06:46:13 +0000 2019,132,"Tokyo, Japan",iPhone,True,
101,"RT @BrianKarem: Not from the Onion but from a WH source - ""Hillary Clinton purposely lost the election with the aid of Russian hacking so t…",jonathan_m_kyle,Thu Dec 19 06:46:23 +0000 2019,140,"Florida, USA",Mobile device,True,
102,"RT @Cyberlutions: Is our government vulnerable to hacking? 

https://t.co/OVVynPTa3N
.
.
.
.
.
#cybersec #infosecurity #cyberattacks #cyber…",KalemaChris,Thu Dec 19 06:46:41 +0000 2019,140,"Kampala, Uganda ",-,True,
103,RT @foxit: Operation Wocao: shining a light on one of China's hidden hacking groups. https://t.co/xEY38US0HR https://t.co/39D7gEaUNf,Antelox,Thu Dec 19 06:46:55 +0000 2019,132,Italy,iPad,True,
104,"RT @Paula_Piccard: Tempting, but just say no to public charging stations and #WiFi - TechRepublic https://t.co/wXYYBNX4oy #hacking #mobile…",cybersec_feeds,Thu Dec 19 06:47:02 +0000 2019,139,Internet,-,True,
105,"RT @RURALINDIA: Sadly, @smittal_ips has no idea, what's hacking, partial hacking, anti-nationals, registering a complaint etc etc.

Only th…",ZimplyRajan,Thu Dec 19 06:47:11 +0000 2019,140,Milky way Galaxy,Mobile device,True,
106,"RT @BrianKarem: Not from the Onion but from a WH source - ""Hillary Clinton purposely lost the election with the aid of Russian hacking so t…",legodonaldtrump,Thu Dec 19 06:47:13 +0000 2019,140,,iPhone,True,
107,"RT @jawja100: Congress peels back secrecy to review Trump hacking policy

LAWMAKERS WON THE RIGHT TO REVIEW THE ADMINISTRATION'S OFFENSIVE…",blboult,Thu Dec 19 06:47:14 +0000 2019,139,"West End, Vancouver",iPad,True,
108,RT @JordanUhl: the perfect crime https://t.co/Wh2hoEmyQY,talekozai,Thu Dec 19 06:47:51 +0000 2019,56,,iPhone,True,
109,"RT @vickyfuck_: hacking into the government database (the big one). i type in ""password"". access denied flashes on the screen. ""fuck,"" i mu…",miniloguer,Thu Dec 19 06:47:54 +0000 2019,140,Zoomhaus LFK,Android,True,
110,"RT @daybrak1971: @wikileaks when will we stop blaming Russians, hacking, falsehoods and start blaming our own corrupt political system?!",RAYTRUM04114776,Thu Dec 19 06:48:06 +0000 2019,136,,Android,True,
111,"RT @BrianKarem: Not from the Onion but from a WH source - ""Hillary Clinton purposely lost the election with the aid of Russian hacking so t…",jinxiejae,Thu Dec 19 06:48:09 +0000 2019,140,,Android,True,
112,RT @foxit: Operation Wocao: shining a light on one of China's hidden hacking groups. https://t.co/xEY38US0HR https://t.co/39D7gEaUNf,NCCGroupplc,Thu Dec 19 06:48:13 +0000 2019,132,"Manchester, England",iPhone,True,
113,RT @hoodshordy: hackers are hacking everything except OSAP 😑 priorities ppl..,noreenkayy,Thu Dec 19 06:48:16 +0000 2019,77,,iPhone,True,
114,"https://t.co/ddnxCDJknj

This is our new deep hacking manager.",todotodorc,Thu Dec 19 06:48:16 +0000 2019,62,,-,False,
115,"RT @911CORLEBRA777: WTF? Man, these cats are trippin on some LSD, snorted back with a line of blow, topped off with some Jamaican Blue jumb…",PGeaux,Thu Dec 19 06:48:30 +0000 2019,140,Upper left corner of the USA,Mobile device,True,
116,"RT @USCyberMag: 4.1 billion records were exposed within the first six months of 2019. This is a 52% rise from same period in 2018.

https:/…",SurenW0W0,Thu Dec 19 06:48:39 +0000 2019,140,"Vancouver, British Columbia",iPhone,True,
